Single Year of Age,Both sexes,Female,Male,Difference between sex: F-M
0,115592,56372,59220,-2848
1,112840,55090,57750,-2660
2,118420,57948,60472,-2524
3,120968,58966,62002,-3036
4,123010,59638,63372,-3734
5,128052,62684,65368,-2684
6,133428,65244,68184,-2940
7,138002,67144,70858,-3714
8,141466,68874,72592,-3718
9,144392,70454,73938,-3484
10,148202,72132,76070,-3938
11,150318,73726,76592,-2866
12,152508,74594,77914,-3320
13,150512,73564,76948,-3384
14,146864,72160,74704,-2544
15,140880,68984,71896,-2912
16,135628,66336,69292,-2956
17,136052,66090,69962,-3872
18,133504,65704,67800,-2096
19,129192,63458,65734,-2276
20,127488,63248,64240,-992
21,121322,59780,61542,-1762
22,124436,61536,62900,-1364
23,121844,60102,61742,-1640
24,119196,58728,60468,-1740
25,118526,58588,59938,-1350
26,116480,57728,58752,-1024
27,117380,59056,58324,732
28,117380,59576,57804,1772
29,121850,61872,59978,1894
30,127398,65682,61716,3966
31,131894,67420,64474,2946
32,133590,68764,64826,3938
33,132754,68978,63776,5202
34,138810,72568,66242,6326
35,145270,75880,69390,6490
36,149716,78060,71656,6404
37,151240,78386,72854,5532
38,156830,81804,75026,6778
39,162682,85184,77498,7686
40,166888,86286,80602,5684
41,170194,87392,82802,4590
42,169962,86674,83288,3386
43,161366,82816,78550,4266
44,154638,78758,75880,2878
45,152432,77012,75420,1592
46,150832,76254,74578,1676
47,149048,74942,74106,836
48,147234,74290,72944,1346
49,147462,74162,73300,862
50,144498,72398,72100,298
51,139902,70050,69852,198
52,137540,68828,68712,116
53,129630,64408,65222,-814
54,128436,64336,64100,236
55,125832,63126,62706,420
56,123926,62558,61368,1190
57,125310,63528,61782,1746
58,120870,61320,59550,1770
59,118392,60000,58392,1608
60,115036,58126,56910,1216
61,113410,57712,55698,2014
62,110030,55798,54232,1566
63,104392,52624,51768,856
64,102472,52218,50254,1964
65,100166,50366,49800,566
66,96842,49324,47518,1806
67,96302,49048,47254,1794
68,91040,46036,45004,1032
69,91938,46750,45188,1562
70,86300,43794,42506,1288
71,83370,42472,40898,1574
72,82248,42318,39930,2388
73,78510,40268,38242,2026
74,75340,38354,36986,1368
75,71534,36588,34946,1642
76,67518,35330,32188,3142
77,61144,31942,29202,2740
78,56116,29332,26784,2548
79,52208,27876,24332,3544
80,45694,24346,21348,2998
81,41322,22382,18940,3442
82,39076,21518,17558,3960
83,35770,19970,15800,4170
84,31310,17780,13530,4250
85,28914,16606,12308,4298
86,25742,15002,10740,4262
87,22562,13532,9030,4502
88,19396,11854,7542,4312
89,15994,9922,6072,3850
90,13458,8570,4888,3682
91,11462,7562,3900,3662
92,8212,5618,2594,3024
93,6514,4640,1874,2766
94,4910,3474,1436,2038
95,3652,2688,964,1724
96,2566,1912,654,1258
97,1898,1464,434,1030
98,1244,984,260,724
99,882,672,210,462
100,1476,1168,308,860
