station,startdate,enddate
DUNSANY,2006-05-09 01:00:00,2025-12-01 00:00:00
BELMULLET,1956-09-16 15:00:00,2025-12-01 00:00:00
JOHNSTOWN CASTLE 2,2003-08-12 01:00:00,2025-12-01 00:00:00
CLAREMORRIS,1950-01-01 01:00:00,2025-12-01 00:00:00
CASEMENT,1964-01-01 01:00:00,2023-01-06 20:00:00
SHANNON AIRPORT,1945-09-01 01:00:00,2025-12-01 00:00:00
DUBLIN AIRPORT,1945-01-01 00:00:00,2025-12-01 00:00:00
CORK AIRPORT,1962-01-01 01:00:00,2025-12-01 00:00:00
ROCHES POINT,1955-12-01 01:00:00,2025-12-01 00:00:00
VALENTIA OBSERVATORY,1945-01-01 00:00:00,2025-12-01 00:00:00
BALLYHAISE,2003-10-07 01:00:00,2025-12-01 00:00:00
OAK PARK,2003-08-01 01:00:00,2025-12-01 00:00:00
MULLINGAR,1973-11-07 01:00:00,2025-12-01 00:00:00
MOORE PARK,2003-08-01 01:00:00,2025-12-01 00:00:00
KNOCK AIRPORT,1996-04-10 14:00:00,2025-12-01 00:00:00
MACE HEAD,2003-08-13 01:00:00,2025-12-01 00:00:00
MT DILLON,2004-09-01 01:00:00,2025-12-01 00:00:00
SHERKIN ISLAND,2004-04-30 01:00:00,2025-12-01 00:00:00
NEWPORT,2004-12-31 01:00:00,2025-12-01 00:00:00
MALIN HEAD,1955-05-01 01:00:00,2025-12-01 00:00:00
FINNER,1997-05-29 17:00:00,2025-12-01 00:00:00
ATHENRY,2010-02-25 01:00:00,2025-12-01 00:00:00
GURTEEN,2007-12-31 01:00:00,2025-12-01 00:00:00
